VideoID,CommentDate,UserName,Comment,Like,ScrapeDate
KqjkU_AQCJE,2026-01-24 13:49:59,@UpiAjah-p1c,Sistem dajjal,0,2026-05-16 10:11:35.344095
mODGGIy9JZE,2025-11-01 09:25:36,@TH-qu3zu,Sistem dajjal,1,2026-05-16 10:11:17.874696
gU62EuPDWaY,2026-05-11 04:19:01,@iyantea1,Sistem dajjal,0,2026-05-16 10:11:00.582960
SxMdI5sabb0,2023-01-30 01:42:40,@NgomonginUang,Terima kasih juga support dan apresiasinya 😁,0,2026-05-16 10:11:24.748032
SxMdI5sabb0,2023-01-29 08:03:24,@NgomonginUang,Terima kasih juga support dan apresiasinya 😁,1,2026-05-16 10:11:26.065949
SxMdI5sabb0,2023-01-30 02:10:49,@NgomonginUang,Terima kasih opini nya 😊👍,0,2026-05-16 10:11:24.748199
SxMdI5sabb0,2023-01-30 01:52:12,@NgomonginUang,Terima kasih opini nya 😊👍,0,2026-05-16 10:11:24.748083
SxMdI5sabb0,2023-01-30 02:04:11,@NgomonginUang,Terima kasih sudah beropini disini 😁,0,2026-05-16 10:11:24.748142
SxMdI5sabb0,2023-01-30 03:12:13,@NgomonginUang,Terima kasih sudah beropini disini 😁,0,2026-05-16 10:11:26.066058
SxMdI5sabb0,2023-02-04 02:36:59,@NgomonginUang,Terima kasih sumbang saran nya 😁,1,2026-05-16 10:11:22.162502
SxMdI5sabb0,2023-02-07 04:59:41,@NgomonginUang,Terima kasih sumbang saran nya 😁,0,2026-05-16 10:11:22.162451
SxMdI5sabb0,2023-01-30 02:57:35,@NgomonginUang,Terima kasih 😊👍,0,2026-05-16 10:11:26.065908
SxMdI5sabb0,2023-01-29 07:03:59,@NgomonginUang,Terima kasih 😊👍,0,2026-05-16 10:11:26.066084
PMuEX5Qbmzo,2024-08-14 11:03:17,@fraziers62,Tidak ada sistem yang sempurna🎉,3,2026-05-16 10:11:31.374978
PMuEX5Qbmzo,2024-08-14 11:03:17,@fraziers62,Tidak ada sistem yang sempurna🎉,3,2026-05-16 10:11:27.583968
SxMdI5sabb0,2023-01-29 07:33:21,@MATAPEDIATV,"Uang Digital currency itu sangat berbahaya !!!
Rencana gila elit dunia menguasai dunia
Penjelasan prof.Dr.ichannurdin noorsy
Pengamat politik dan ekonomi

https://m.youtube.com/watch?v=b3z7Rz0rpRo",0,2026-05-16 10:11:26.066048
SxMdI5sabb0,2023-01-29 07:32:55,@MATAPEDIATV,"Uang Digital currency itu sangat berbahaya !!!
Rencana gila elit dunia menguasai dunia
Penjelasan prof.Dr.ichannurdin noorsy
Pengamat politik dan ekonomi

https://m.youtube.com/watch?v=b3z7Rz0rpRo",0,2026-05-16 10:11:26.066210
SxMdI5sabb0,2023-01-29 07:32:42,@MATAPEDIATV,"Uang Digital currency itu sangat berbahaya !!!
Rencana gila elit dunia menguasai dunia
Penjelasan prof.Dr.ichannurdin noorsy
Pengamat politik dan ekonomi

https://m.youtube.com/watch?v=b3z7Rz0rpRo",0,2026-05-16 10:11:26.066242
SxMdI5sabb0,2023-01-29 07:32:02,@MATAPEDIATV,"Uang Digital currency itu sangat berbahaya !!!
Rencana gila elit dunia menguasai dunia
Penjelasan prof.Dr.ichannurdin noorsy
Pengamat politik dan ekonomi

https://m.youtube.com/watch?v=b3z7Rz0rpRo",1,2026-05-16 10:11:26.066265
SxMdI5sabb0,2023-01-29 07:32:20,@MATAPEDIATV,"Uang Digital currency itu sangat berbahaya !!!
Rencana gila elit dunia menguasai dunia
Penjelasan prof.Dr.ichannurdin noorsy
Pengamat politik dan ekonomi

https://m.youtube.com/watch?v=b3z7Rz0rpRo",0,2026-05-16 10:11:26.066057
